CATEGORY,DISTRICT,LAT,LNG,NAME,POSTCODE,ROAD
Residences,GALOLHU,4.173544446,73.51129974,AIDHOOGE,20132,FAASHANAA KILEGE  MAGU
Residences,GALOLHU,4.171658501,73.51356357,AIFA,20093,BURUZU MAGU
Residences,MAAFANNU,4.174823141,73.50310569,AIL HAVEN,20338,SHAHEEDH ALI HINGUN
Residences,GALOLHU,4.17478034,73.51263553,AIMAA,20119,BANAFSAA MAGU
Residences,MAAFANNU,4.179151428,73.50664079,AIMIRANI,20220,BODUTHAKURUFAANU MAGU
Residences,GALOLHU,4.172332627,73.51375133,AINA ADAMS,20091,LONUZIYAARAIY MAGU
Residences,GALOLHU,4.172097218,73.51147681,AINAA,20134,BURUZU MAGU
Residences,GALOLHU,4.174718812,73.51131047,AIR COOL,20132,FAASHANAA KILEGE  MAGU
Residences,MAAFANNU,4.172629563,73.50503683,AIR DAWN,20303,BURUZU MAGU
Residences,MACHCHANGOLHI,4.175874451,73.50985403,AIRY,20160,BODUFULHAH GOALHI
Residences,MAAFANNU,4.17351502,73.50344096,AISHAA MANZIL,20329,MURANGA MAGU
Residences,MAAFANNU,4.173988512,73.50463718,AISHATH MANZIL,20305,DHAKADHAA MAGU
Residences,MAAFANNU,4.172961275,73.50599174,AJAMEE POOLGE,20269,KOARU KENDI MAGU
Residences,MACHCHANGOLHI,4.173833356,73.50783974,AJUMEE STAR,20232,DHILBAHAARU MAGU
Residences,HENVEIRU,4.178554885,73.51383448,AKIRI,20094,BODUTHAKURUFAANU MAGU
Residences,MACHCHANGOLHI,4.171926011,73.5080785,AKIRIFUSHI,20205,AMEENEE MAGU
Residences,GALOLHU,4.176158011,73.51172353,AL AAN,20129,DAISY MAGU
Education,MACHCHANGOLHI,4.175138802,73.50963414,AL MADHRASATHUL ARABIYYATHUL ISLAMIYYA,20162,MAJEEDHEE MAGU
Residences,GALOLHU,4.173894884,73.51017321,ALAFARU,20145,RAH DHEBAI MAGU
Residences,MAAFANNU,4.172442306,73.50390494,ALAKA,20319,HANDHUVAREE HINGUN
Residences,MACHCHANGOLHI,4.173365215,73.50803286,ALAMAAGE,20202,DHEVINA MAGU
Residences,HENVEIRU,4.171615699,73.51622701,ALAMANDA,20052,BURUZU MAGU
Residences,HENVEIRU,4.17309503,73.51424485,ALANAASIMAAGE,20073,BODURASGEFAANU MAGU
Residences,HENVEIRU,4.17310038,73.51430923,ALANAASIMAAGE AAGE,20073,BODURASGEFAANU MAGU
Residences,HENVEIRU,4.172324601,73.51623505,ALANIRU,20050,RAIYVILAA HINGUN
Residences,MACHCHANGOLHI,4.172771343,73.50654155,ALARM,20246,ISKANDHARU MAGU
Residences,MAAFANNU,4.174777664,73.50517362,ALASKA,20293,YAAGOOTHU GOALHI
Residences,HENVEIRU,4.172354027,73.51646841,ALAVALUGE,20050,RAIYVILAA HINGUN
Residences,MAAFANNU,4.176709079,73.5057503,ALBANIA,20273,SHAARIU VARUDHEE
Residences,GALOLHU,4.172913123,73.51269722,ALBEEDO,20106,KOIMALAA HINGUN
Retail Outlets and Supermarkets,MAAFANNU,4.178897296,73.50594878,ALBIAN STORE,20252,BODUTHAKURUFAANU MAGU
Residences,HENVEIRU,4.17644692,73.51638526,ALCOVE,20031,ROASHANEE MAGU
Retail Outlets and Supermarkets,MAAFANNU,4.177038114,73.50486517,ALCYON,20287,FULOONIYAA MAGU
Retail Outlets and Supermarkets,MAAFANNU,4.179247731,73.50977361,ALCYON TRADERS,20188,KOLIGE  UMARU MANIKU GOALHI
Residences,HENVEIRU,4.175729997,73.51430386,ALFAA,20085,ABADHAH FEHI MAGU
Residences,MACHCHANGOLHI,4.174165068,73.50698411,ALHI FASHUVI,20243,GULAABEE MAGU
Residences,GALOLHU,4.177244096,73.51184964,ALHIFASHUVI AAGE,20128,DHARUMAVANTHA MAGU
Residences,MACHCHANGOLHI,4.174017938,73.50683391,ALHIFASHUVIGE,20243,GULAABEE MAGU
Residences,MACHCHANGOLHI,4.17378788,73.5076949,ALHIFEHI,20231,GULAABEE MAGU
Residences,MACHCHANGOLHI,4.172444981,73.50678027,ALHIGE,20238,BURUZU MAGU
Residences,MACHCHANGOLHI,4.173539096,73.50987285,ALHIVILAA,20163,ANOANAA GOALHI
Residences,MACHCHANGOLHI,4.173635399,73.51005256,ALHIVILAAGE,20163,RAH DHEBAI MAGU
Residences,HENVEIRU,4.176363993,73.51672322,ALI,20015,ROASHANEE MAGU
Residences,GALOLHU,4.172327276,73.51387739,ALI AABAADHU,20091,LONUZIYAARAIY MAGU
Residences,MAAFANNU,4.177757712,73.50567788,ALI HANDHU,20284,SHAARIU VARUDHEE
Residences,MAAFANNU,4.177760387,73.50564569,ALI HANDHUVARUGE,20284,SHAARIU VARUDHEE
Residences,MAAFANNU,4.178092097,73.5042349,ALI HAVAA,20320,BANDHARUMATHEE HINGUN
Residences,MACHCHANGOLHI,4.172364728,73.50687414,ALI HOUSE,20240,BURUZU MAGU
Residences,HENVEIRU,4.175441087,73.51584345,ALI KURI,20037,THANDIRAIYMAA GOALHI
Residences,HENVEIRU,4.175550766,73.51600975,ALI REEF,20036,THANDIRAIYMAA GOALHI
Residences,MACHCHANGOLHI,4.173902909,73.50801945,ALI THARI,20232,KURIKEELA MAGU
Residences,MAAFANNU,4.178019869,73.50461841,ALIA,20310,HAVEEREE HINGUN
Residences,MAAFANNU,4.179081876,73.51023763,ALIA BULIDING,20183,ORCHID MAGU
Residences,MAAFANNU,4.178108147,73.5080865,ALIA BUTIK,20224,ORCHID MAGU
Residences,MAAFANNU,4.177586506,73.50415975,ALIA FLAT,20311,GANDHAKOALHI MAGU
Retail Outlets and Supermarkets,MAAFANNU,4.178857169,73.5058254,ALIA FURNITURE MART,20252,BODUTHAKURUFAANU MAGU
Retail Outlets and Supermarkets,MAAFANNU,4.178429157,73.50504756,ALIA SAW MILL,20280,BODUTHAKURUFAANU MAGU
Residences,MACHCHANGOLHI,4.175917253,73.50879997,ALIDHOOGE,20194,SHAHEEDH KUDANEVI THUTTHU MANIK HINGUN
Residences,MACHCHANGOLHI,4.173498969,73.5076413,ALIDHUFFFARU,20233,DHILBAHAARU MAGU
Residences,MAAFANNU,4.177757712,73.50571275,ALIFAS,20284,SHAARIU VARUDHEE
Retail Outlets and Supermarkets,MAAFANNU,4.179499188,73.50757721,ALIFU ATOLL FIHAARA,20217,BODUTHAKURUFAANU MAGU
Residences,GALOLHU,4.175981455,73.51302713,ALIFUSHEEGE,20099,KALHUHURAA  MAGU
Residences,MAAFANNU,4.177137092,73.50569929,ALIGAA,20272,SHAARIU VARUDHEE
Residences,GALOLHU,4.172795419,73.50993182,ALIHAA,20150,RAH DHEBAI MAGU
Residences,HENVEIRU,4.172212247,73.51487249,ALIHURAS,20063,LONUZIYAARAIY MAGU
Retail Outlets and Supermarkets,GALOLHU,4.176572649,73.51230294,ALIKILEGEFAANU MAGU NO 2 / 10,20129,ALIKILEGEFAANU MAGU
Residences,GALOLHU,4.173284962,73.51242368,ALIKURAAGE,20120,BANAFSAA MAGU
Residences,MAAFANNU,4.172578736,73.50484371,ALIMAS VAADHEE,20304,BURUZU MAGU
Residences,GALOLHU,4.174673336,73.51367086,ALIMASGE,20088,MAJEEDHEE MAGU
Residences,GALOLHU,4.174713462,73.51374865,ALIMASGE IRUMATHEEBAI,20088,MAJEEDHEE MAGU
Residences,GALOLHU,4.175770123,73.51132393,ALIMATHAAGE,20131,NEELOAFARU MAGU
Residences,GALOLHU,4.171963463,73.51340532,ALINARU,20092,DHON ADHARAADHA HINGUN
Residences,HENVEIRU,4.175569491,73.51574153,ALINARU HIYAA,20037,THANDIRAIYMAA GOALHI
Residences,HENVEIRU,4.175534715,73.5157603,ALINARU LODGE,20037,THANDIRAIYMAA GOALHI
Residences,HENVEIRU,4.175513314,73.51578981,ALINARU VILLA,20037,THANDIRAIYMAA GOALHI
Residences,HENVEIRU,4.175545416,73.51574153,ALINARUMAA,20037,THANDIRAIYMAA GOALHI
Residences,HENVEIRU,4.175491914,73.51588905,ALINARUMAAGE,20037,THANDIRAIYMAA GOALHI
Residences,MACHCHANGOLHI,4.173309038,73.5085318,ALINOORU,20175,CHAANDHANEE MAGU
Residences,GALOLHU,4.175120076,73.51089209,ALIRES,20138,MAJEEDHEE MAGU
Residences,GALOLHU,4.172086517,73.51020277,ALISHAA,20151,BURUZU MAGU
Residences,MAAFANNU,4.178027895,73.50701362,ALIVAAGE,20254,LAINOOFARU MAGU
Residences,MAAFANNU,4.175427712,73.50457017,ALIVIDHUVARUGE,20295,NOOREE GOALHI
Residences,GALOLHU,4.172779368,73.5134992,ALL PARIS,20091,DHON ADHARAADHA HINGUN
Residences,GALOLHU,4.171358889,73.51370037,ALMAAS,20093,DHON ADHARAADHA HINGUN
Residences,HENVEIRU,4.177343074,73.51289302,ALMAAS VILLA,20097,NOORAANEE GOALHI
Residences,MAAFANNU,4.177455427,73.50720942,ALMAAZAA,20256,ORCHID MAGU
Residences,MAAFANNU,4.175106701,73.50488663,ALMEERIYAA,20292,JAVAAHIRU MAGU
Residences,MACHCHANGOLHI,4.175433062,73.50966101,ALMOND VILLA,20172,BODUFULHAH GOALHI
Residences,MACHCHANGOLHI,4.171984863,73.50843787,ALPINE,20178,NIKAGAS HINGUN
Residences,HENVEIRU,4.172597461,73.51635039,ALTAR,20050,HITHIGAS MAGU
Residences,MAAFANNU,4.174063415,73.50278109,ALUNTHILA,20339,BLUEKIYA  MAGU
Residences,MAAFANNU,4.176008206,73.50473911,ALUVIMAAGE,20291,NEDHUN GOALHI
Residences,MAAFANNU,4.176158011,73.50478739,ALUVIMAAGE AAGE,20291,NEDHUN GOALHI
Residences,HENVEIRU,4.175157527,73.51648986,ALWAYS HAPPY HOUSE,20034,ABADHAH UFAA MAGU
Residences,HENVEIRU,4.171530096,73.51584613,AMAAN ASSEYRI,20052,JANAVAREE MAGU
Residences,HENVEIRU,4.177027414,73.51387203,AMAANEE,20082,SIKKA GOALHI
Residences,MAAFANNU,4.176406794,73.50352675,AMAAZ,20325,MUNIYAA MAGU
Residences,HENVEIRU,4.177032764,73.51382643,AMAN,20082,SIKKA GOALHI
Residences,MAAFANNU,4.174413852,73.50659519,AMARAA,20260,ALIMAS MAGU
Residences,MAAFANNU,4.177931592,73.50836813,AMAZON,20224,FAREEDHEE GOALHI
Residences,HENVEIRU,4.171661176,73.51585686,AMBRIES,20052,JANAVAREE HINGUN
Residences,MACHCHANGOLHI,4.173680876,73.50833058,AMEELEE HIYAA,20201,KURIKEELA MAGU
Residences,MACHCHANGOLHI,4.173739728,73.50815356,AMEELEE MANZIL,20201,DHEVINA MAGU
Residences,HENVEIRU,4.178097447,73.51365745,AMEENEE GULSHAN,20096,AMEER AHMED MAGU
Residences,MAAFANNU,4.175184278,73.50647449,AMEERAA MANZIL,20264,ASAREE GOALHI
Residences,HENVEIRU,4.176821432,73.51499051,AMENITY,20067,GULEYNOORAN MAGU
Residences,MAAFANNU,4.173809281,73.50613922,AMERICAN STAR,20268,MUIVEYO MAGU
Residences,GALOLHU,4.176101834,73.51168871,AMERY,20129,DAISY MAGU
Residences,MAAFANNU,4.17855221,73.50971997,AMFAA,20189,DHANBU GOALHI
Education,MACHCHANGOLHI,4.176858883,73.50970387,AMINIYA SCHOOL,20159,CHAANDHANEE MAGU
Residences,MAAFANNU,4.176198137,73.50702167,AMNA,20257,ASURUMAA GOALHI
Residences,MAAFANNU,4.17350432,73.50542312,AMSAA,20301,JAVAAHIRU MAGU
Residences,HENVEIRU,4.176984612,73.5144031,AMSAA VILLA,20081,GULEYNOORAN MAGU
Residences,MAAFANNU,4.178150948,73.50750983,AMSHAAH,20223,ORCHID MAGU
Residences,MACHCHANGOLHI,4.176869584,73.50811342,ANAA VILLA,20226,KENEREE MAGU
Residences,GALOLHU,4.175363509,73.51188451,ANAABAARU,20131,ALIKILEGEFAANU MAGU
Residences,HENVEIRU,4.17478034,73.51628333,ANAALU,20038,ASRAFEE MAGU
Residences,MACHCHANGOLHI,4.175839675,73.50906014,ANAARU KALEE,20194,SHAHEEDH KUDANEVI THUTTHU MANIK HINGUN
Residences,HENVEIRU,4.177495553,73.51613581,ANASAM,20026,AMEER AHMED MAGU
Residences,MACHCHANGOLHI,4.175986805,73.50858539,ANBARAA,20194,SHAHEEDH KUDANEVI THUTTHU MANIK HINGUN
Residences,GALOLHU,4.173643425,73.51109326,ANBAREEGE,20141,FAASHANAA KILEGE  MAGU
Residences,MAAFANNU,4.178426482,73.50643158,ANBUGASDHOSHUGE,20254,SHAMEEMEE  GOALHI
Residences,GALOLHU,4.173961761,73.51120855,ANBUGE,20132,FAASHANAA KILEGE  MAGU
Residences,MAAFANNU,4.174173093,73.50546598,ANBUMAAGE,20276,NASEEMEE HINGUN
Residences,MACHCHANGOLHI,4.176992638,73.50867122,ANDAAPOOL AAGE,20193,KENEREE MAGU
Residences,MACHCHANGOLHI,4.177064865,73.50866581,ANDAAPOOL LODGE,20193,KENEREE MAGU
Residences,MACHCHANGOLHI,4.177008688,73.50864977,ANDAAPOOL VILLA,20193,KENEREE MAGU
Residences,MACHCHANGOLHI,4.177155818,73.50866854,ANDAAPOOLGE,20193,KENEREE MAGU
Residences,MACHCHANGOLHI,4.177107666,73.50857735,ANDAAPOOLMAAGE,20193,KENEREE MAGU
Residences,MACHCHANGOLHI,4.172198871,73.50851834,ANDALUS,20178,BURUZU MAGU
Residences,MACHCHANGOLHI,4.172236323,73.50811601,ANDHAASEEGE,20205,BURUZU MAGU
Residences,MAAFANNU,4.176166036,73.50752592,ANDHALEEBUGE,20258,CHAMPAA MAGU
Residences,HENVEIRU,4.173108405,73.51732403,ANDHARUSAVAA,20009,BUREVI MAGU
Residences,HENVEIRU,4.173284962,73.51543039,ANDHUNGE,20049,RAIYVILAA MAGU
Residences,MACHCHANGOLHI,4.176786656,73.50840305,ANDHUNKOSHEEGE,20226,SAYYID KILEGEFAANU MAGU
Residences,HENVEIRU,4.173469543,73.51448357,ANDHUNKOSHEEGE AAGE,20072,SOSUN MAGU
